Producer,870,225600
Consumer,790,700
Producer,135,300
Producer,403,0
Consumer,306,100
Producer,287,200
Producer,184,100
Producer,122,6900
Consumer,716,107247400
Consumer,18,200
Producer,782,107310500
Consumer,571,100
Producer,164,200
Consumer,220,185700
Producer,544,169900
Consumer,255,107251500
Consumer,385,89000
Producer,732,159000
Consumer,363,188900
Consumer,628,100
Producer,952,158600
Producer,33,200
Consumer,450,221400
Consumer,339,183000
Producer,492,149100
Consumer,458,199500
Producer,241,162000
Consumer,416,107499600
Producer,387,348600
Producer,379,200
Consumer,802,400
Producer,449,400
Producer,259,100
Producer,103,100
Producer,28,100
Consumer,10,200
Consumer,451,300
Producer,385,106931100
Consumer,580,198100
Producer,748,190600
Consumer,951,185200
Producer,558,176800
Consumer,512,300
Producer,602,2900
Consumer,576,200
Producer,518,100
Producer,222,100
Producer,164,200
Consumer,944,214457900
Producer,236,100
Producer,254,100
Consumer,473,200
Producer,543,200
Producer,16,100
Consumer,187,151000
Consumer,109,91800
Producer,528,74100
Consumer,111,105800
Consumer,55,100
Consumer,98,100
Consumer,3,100
Consumer,526,0
Producer,307,107874800
Consumer,130,120300
Consumer,3,100
Consumer,169,0
Producer,907,154500
Consumer,753,79600
Consumer,189,200
Producer,869,135700
Producer,15,99800
Consumer,893,147100
Producer,983,178800
Consumer,978,352400
Producer,844,248300
Consumer,674,176800
Producer,122,79700
Producer,688,107949700
Consumer,952,69900
Producer,957,242800
Consumer,980,338400
Producer,879,388400
Consumer,309,158100
Consumer,106,100
Consumer,56,100
Consumer,377,100
Producer,379,132100
Producer,216,200
Consumer,191,152100
Consumer,287,200
Producer,786,402100
Consumer,664,208400
Producer,699,262800
Consumer,869,522000
Producer,281,184400
Producer,272,179300
Consumer,165,184000
Consumer,379,100
Producer,441,162200
Producer,174,100
Consumer,446,388700
Producer,210,110000
Consumer,144,400
Producer,11,100
Producer,566,300
Consumer,12,200
